title,year,endYear,movie_id
High Class,2021,2021,14596714
High End Crush,2015,2016,6096696
High Kick Through the Roof,2009,2010,
High Kick!,2006,2007,2309828
High Kick: Revenge of the Short Legged,2011,2012,
High School King of Savvy,2014,2014,3798374
High Society,2015,2015,4768948
History of a Salaryman,2012,2012,
Hit the Top,2017,2017,17518792
Hogu's Love,2015,2015,
Hold Me Tight,2018,2018,
Hold My Hand,2013,2014,5614978
Home for Summer,2019,2019,10160560
Home Sweet Home,2010,2010,
Homemade Love Story,2020,2021,16441070
Hometown,2021,2021,14687370
Hometown Cha-Cha-Cha,2021,2021,14518756
Hong Gil-dong,2008,2008,2511504
Hong Kong Express,2005,2005,"0448218,16166654"
Hospital Playlist,2020,2021,11769304
Hospital Ship,2017,2017,7074992
Hot Blood,2009,2009,5120680
Hot Stove League,2019,2020,17532284
Hotel del Luna,2019,2019,"10220588,10573398"
Hotel King,2014,2014,3737080
Hotelier,2001,2001,0431528
House of Bluebird,2015,2015,
How Are U Bread,2020,2020,
How Long I've Kissed,2012,2012,
How to Be Thirty,2021,2021,
How to Buy a Friend,2020,2020,13860124
How to Meet a Perfect Neighbor,2007,2007,8219202
How Should I Be,2002,2002,
Hur Jun,1999,2000,4369130
"Hur Jun, The Original Story",2013,2013,
Hush,2020,2021,13273670
Hwang Jini,2006,2006,
Hwarang: The Poet Warrior Youth,2016,2017,5646594
"Hyde Jekyll, Me",2015,2015,4357294
Hyena,2020,2020,"11534164,12944144"
I Am Legend,2010,2010,5145090
I Am Sam,2007,2007,"6289532,1771847"
I Am the Mother Too,2018,2018,
I Can Hear Your Voice,2013,2013,
"I Do, I Do",2012,2012,
I Don't Want to Do Anything,2022,2022,
I Have a Lover,2015,2016,5125222
I Love Lee Taly,2012,2013,
I Need Romance,2011,2011,3340752
I Need Romance 2012,2012,2012,9048820
I Need Romance 3,2014,2014,9060294
I Order You,2015,2015,6286352
I Picked Up a Celebrity on the Street,2018,2018,
I Wanna Hear Your Song,2019,2019,10449370
I'm After You,2015,2015,
I'm Not a Robot,2017,2018,7521778
"I'm Sorry, But I Love You",2016,2017,
"I'm Sorry, I Love You",2004,2004,0468618
Ice Adonis,2012,2012,5504332
Ice Girl,2005,2005,2928696
Idol Drama Operation Team,2017,2017,
Idol: The Coup,2021,2021,16236014
If Tomorrow Comes,2011,2012,18182438
If You Wish Upon Me,2022,2022,20600078
Iljimae,1993,1993,1622764
Iljimae,2008,2008,1622764
Imaginary Cat,2015,2016,5260106
Imitation,2021,2021,14371376
Immortal Admiral Yi Sun-sin,2004,2005,
In-soon Is Pretty,2007,2007,
Incarnation of Money,2013,2013,3528388
Innocent Defendant,2017,2017,
Insider,2022,2022,"10948716,21340412"
Inspector Koo,2021,2021,14731794
Inspiring Generation,2014,2014,3112622
"Insu, the Queen Mother",2011,2012,
Into the Flames,2014,2014,"3839790,3278572"
Introverted Boss,2017,2017,6257622
Invincible Lee Pyung Kang,2009,2009,5801150
Ireland,2004,2004,
Iris,2009,2009,1757202
Iris II: New Generation,2013,2013,
Island,2022,2022,"15218000,22180926"
Itaewon Class,2020,2020,11239552
Item,2019,2019,9278396
It's Beautiful Now,2022,2022,19381194
It's Dangerous Beyond the Blankets,2018,2018,
It's My Life,2018,2019,9165716
It's Okay to Not Be Okay,2020,2020,12451520
"It's Okay, Daddy's Girl",2010,2011,
"It's Okay, That's Love",2014,2014,4031224
Ja Myung Go,2009,2009,3364894
Jang Bo-ri Is Here!,2014,2014,3727450
"Jang Ok-jung, Living by Love",2013,2013,3143308
Jang Yeong-sil,2016,2016,5321584
Jejungwon,2010,2010,
Jeon Woo-chi,2012,2013,3364950
Jeong Do-jeon,2014,2014,5133042
Ji Woon-soo's Stroke of Luck,2012,2012,16604420
Jikji,2005,2005,
Jinxed at First,2022,2022,21081006
Jirisan,2021,2021,13400300
Jolly Widows,2009,2010,
Joseon Exorcist,2021,2021,13634332
Joseon Survival Period,2019,2019,
Joseon X-Files,2010,2010,2146531
Hello Dracula,2020,2020,12759646
Hello Dracula,2020,2020,12759646
Judge vs. Judge,2017,2018,"7608128,16610796"
Jugglers,2017,2018,7682996
Jumong,2006,2007,0978061
Jump,1999,1999,
Jungle Fish,2008,2008,6289274
Jungle Fish 2,2010,2010,3215082
Junwoo,1975,1978,
Just Dance,2018,2018,9214558
Justice,2019,2019,9095260
Juvenile Justice,2022,2022,15553922
Kairos,2020,2020,"12874950,11347158,5867808"
Cutting Off the Heart,2010,2010,9019148
Do You Know Taekwondo?,2012,2012,9019718
I'm Dying Soon,2014,2014,9019918
If We Were a Season,2017,2017,9020082
My Prettiest Moments,2012,2012,
Pianist,2010,2010,
Pinocchio's Nose,2016,2016,6381594
Reason,2010,2010,1601215
Review Notebook of My Embarrassing Days,2018,2018,
The Memory in My Old Wallet,2013,2013,8705770
A Sea of Her Own,2017,2017,
Dal Soon's Spring,2017,2018,7713572
Dear My Sister,2011,2012,5699318
Eunhui,2013,2014,5688584
In Still Green Days,2015,2015,5688586
Land of Gold,2014,2014,
"Love, My Love",2012,2013,
My Mind's Flower Rain,2016,2016,
Samsaengi,2013,2013,
Single-minded Dandelion,2014,2015,
Sunok,2006,2006,
That Sun in the Sky,2016,2017,7088130
The Stars Are Shining,2015,2016,5588016
Through the Waves,2018,2018,18078356
Kill Heel,2022,2022,19796732
Kill It,2019,2019,9772814
"Kill Me, Heal Me",2015,2015,4339192
Kim Is a Genius,2019,2019,
"Kim Su-ro, The Iron King",2010,2010,
Kimcheed Radish Cubes,2007,2008,
Kimchi Cheese Smile,2007,2008,
Kimchi Family,2011,2012,
King of Ambition,2013,2013,
King the Land,2023,2023,20754384
Kingdom,2019,2023,6611916
Kingmaker: The Change of Destiny,2020,2020,12343602
Kiss Sixth Sense,2022,2022,20235634
Kkondae Intern,2020,2020,12511316
Korean Peninsula,2012,2012,3750492
L.U.C.A.: The Beginning,2021,2021,13752928
Lady Cha Dal-rae's Lover,2018,2019,9051784
Land of Wine,2003,2003,19161350
Last,2015,2015,"4179452,3230454"
Last Scandal,2008,2008,1301892
Late Night Restaurant,2015,2015,6209462
Law School,2021,2021,
Lawless Lawyer,2018,2018,8160178
Lawyers,2005,2005,
"Lee San, Wind of the Palace",2007,2008,1676673
Left-Handed Wife,2019,2019,9569338
Legal High,2019,2019,9537270
